x_m,y_m,w_tr_right_m,w_tr_left_m,w_re_right_m,w_re_left_m
0.064604056,0.076137999,0.85,0.85,0.85,0.85
0.099573364,0.074996163,0.85,0.85,0.85,0.85
0.136841044,0.075630166,0.85,0.85,0.85,0.85
0.174182277,0.074510326,0.85,0.85,0.85,0.85
0.211477868,0.102601515,0.85,0.85,0.85,0.85
0.383333647,0.129788908,0.85,0.85,0.85,0.85
0.389893734,0.131742365,0.85,0.85,0.85,0.85
0.402825198,0.135592635,0.85,0.85,0.85,0.85
0.421769502,0.141230306,0.85,0.85,0.85,0.85
0.446237442,0.148505663,0.85,0.85,0.85,0.85
0.47565182,0.157238552,0.85,0.85,0.85,0.85
0.50939664,0.16723485,0.85,0.85,0.85,0.85
0.54685713,0.178298898,0.85,0.85,0.85,0.85
0.587451039,0.190245211,0.85,0.85,0.85,0.85
0.630649132,0.20290777,0.85,0.85,0.85,0.85
0.675981613,0.216142076,0.85,0.85,0.85,0.85
0.723042766,0.229829785,0.85,0.85,0.85,0.85
0.771484199,0.243873875,0.85,0.85,0.85,0.85
0.821009288,0.25819528,0.85,0.85,0.85,0.85
0.871369637,0.272730604,0.85,0.85,0.85,0.85
0.92235475,0.287423603,0.85,0.85,0.85,0.85
0.973791564,0.30222617,0.85,0.85,0.85,0.85
1.025540663,0.317094207,0.85,0.85,0.85,0.85
1.077494814,0.331990257,0.85,0.85,0.85,0.85
1.129581241,0.346884358,0.85,0.85,0.85,0.85
1.181762494,0.361758369,0.85,0.85,0.85,0.85
1.234042166,0.37660998,0.85,0.85,0.85,0.85
1.286466717,0.391454168,0.85,0.85,0.85,0.85
1.339133318,0.406326612,0.85,0.85,0.85,0.85
1.392189691,0.421282037,0.85,0.85,0.85,0.85
1.445835309,0.436393976,0.85,0.85,0.85,0.85
1.500317613,0.451748844,0.85,0.85,0.85,0.85
1.555923392,0.467442967,0.85,0.85,0.85,0.85
1.61296573,0.483574361,0.85,0.85,0.85,0.85
1.671765327,0.500239056,0.85,0.85,0.85,0.85
1.732627868,0.51752386,0.85,0.85,0.85,0.85
1.795824447,0.535505047,0.85,0.85,0.85,0.85
1.861569769,0.554246846,0.85,0.85,0.85,0.85
1.930007536,0.573802404,0.85,0.85,0.85,0.85
2.00120349,0.59421924,0.85,0.85,0.85,0.85
2.075140946,0.61554178,0.85,0.85,0.85,0.85
2.151725264,0.637819164,0.85,0.85,0.85,0.85
2.230785865,0.661104777,0.85,0.85,0.85,0.85
2.31207926,0.685458117,0.85,0.85,0.85,0.85
2.395289217,0.710938868,0.85,0.85,0.85,0.85
2.480022831,0.737597671,0.85,0.85,0.85,0.85
2.565811998,0.76546678,0.85,0.85,0.85,0.85
2.652116357,0.794547696,0.85,0.85,0.85,0.85
2.738335335,0.824798087,0.85,0.85,0.85,0.85
2.82383205,0.856126341,0.85,0.85,0.85,0.85
2.907964088,0.888386289,0.85,0.85,0.85,0.85
2.990121733,0.921379163,0.85,0.85,0.85,0.85
3.069763468,0.954857328,0.85,0.85,0.85,0.85
3.146447316,0.988533233,0.85,0.85,0.85,0.85
3.219850427,1.022089185,0.85,0.85,0.85,0.85
3.289778065,1.055189898,0.85,0.85,0.85,0.85
3.356160675,1.087495452,0.85,0.85,0.85,0.85
3.419039344,1.118672283,0.85,0.85,0.85,0.85
3.478552033,1.148409321,0.85,0.85,0.85,0.85
3.534915204,1.176431201,0.85,0.85,0.85,0.85
3.588401557,1.202509355,0.85,0.85,0.85,0.85
3.639329775,1.226476739,0.85,0.85,0.85,0.85
3.688047422,1.24823509,0.85,0.85,0.85,0.85
3.734917891,1.267760211,0.85,0.85,0.85,0.85
3.78031295,1.285103277,0.85,0.85,0.85,0.85
3.824602142,1.300385063,0.85,0.85,0.85,0.85
3.868148524,1.313787187,0.85,0.85,0.85,0.85
3.911296206,1.325535523,0.85,0.85,0.85,0.85
3.954369062,1.335885243,0.85,0.85,0.85,0.85
3.997660706,1.345100943,0.85,0.85,0.85,0.85
4.041431959,1.35344123,0.85,0.85,0.85,0.85
4.085904533,1.361143811,0.85,0.85,0.85,0.85
4.131257059,1.368415166,0.85,0.85,0.85,0.85
4.177625522,1.375424936,0.85,0.85,0.85,0.85
4.225104014,1.382304802,0.85,0.85,0.85,0.85
4.273752467,1.389151489,0.85,0.85,0.85,0.85
4.323605951,1.396033317,0.85,0.85,0.85,0.85
4.374689371,1.402999648,0.85,0.85,0.85,0.85
4.427036626,1.410092528,0.85,0.85,0.85,0.85
4.480712069,1.41735976,0.85,0.85,0.85,0.85
4.535834458,1.424868365,0.85,0.85,0.85,0.85
4.592599425,1.432717599,0.85,0.85,0.85,0.85
4.651294828,1.441047622,0.85,0.85,0.85,0.85
4.712306617,1.450046993,0.85,0.85,0.85,0.85
4.776107633,1.459949853,0.85,0.85,0.85,0.85
4.843225936,1.471029614,0.85,0.85,0.85,0.85
4.914194839,1.483581387,0.85,0.85,0.85,0.85
4.989481589,1.49789966,0.85,0.85,0.85,0.85
5.069411688,1.514250851,0.85,0.85,0.85,0.85
5.154094853,1.532848129,0.85,0.85,0.85,0.85
5.24336837,1.55382648,0.85,0.85,0.85,0.85
5.336769889,1.577227207,0.85,0.85,0.85,0.85
5.433547141,1.602994547,0.85,0.85,0.85,0.85
5.532705639,1.630981492,0.85,0.85,0.85,0.85
5.633087021,1.660965112,0.85,0.85,0.85,0.85
5.733465767,1.692669004,0.85,0.85,0.85,0.85
5.832647404,1.725787608,0.85,0.85,0.85,0.85
5.929556351,1.760011941,0.85,0.85,0.85,0.85
6.023295737,1.795047825,0.85,0.85,0.85,0.85
6.113177686,1.830631587,0.85,0.85,0.85,0.85
6.198724291,1.866539951,0.85,0.85,0.85,0.85
6.279648467,1.902598509,0.85,0.85,0.85,0.85
6.355814419,1.938685243,0.85,0.85,0.85,0.85
6.427199524,1.974735534,0.85,0.85,0.85,0.85
6.493858913,2.010746539,0.85,0.85,0.85,0.85
6.555894517,2.046776968,0.85,0.85,0.85,0.85
6.613437431,2.082944612,0.85,0.85,0.85,0.85
6.666633954,2.119413634,0.85,0.85,0.85,0.85
6.715644879,2.156378841,0.85,0.85,0.85,0.85
6.760637816,2.194036183,0.85,0.85,0.85,0.85
6.801788051,2.232555842,0.85,0.85,0.85,0.85
6.839279054,2.27205086,0.85,0.85,0.85,0.85
6.873302582,2.312558685,0.85,0.85,0.85,0.85
6.904060594,2.354030623,0.85,0.85,0.85,0.85
6.93176432,2.396340739,0.85,0.85,0.85,0.85
6.956634217,2.439310671,0.85,0.85,0.85,0.85
6.978895449,2.482747578,0.85,0.85,0.85,0.85
6.998770201,2.526487216,0.85,0.85,0.85,0.85
7.016465728,2.570435408,0.85,0.85,0.85,0.85
7.03215969,2.614601721,0.85,0.85,0.85,0.85
7.04598199,2.65911758,0.85,0.85,0.85,0.85
7.057998504,2.704236482,0.85,0.85,0.85,0.85
7.068198619,2.750315264,0.85,0.85,0.85,0.85
7.076490097,2.797777763,0.85,0.85,0.85,0.85
7.082703788,2.847064143,0.85,0.85,0.85,0.85
7.086609487,2.89857077,0.85,0.85,0.85,0.85
7.087942743,2.952587202,0.85,0.85,0.85,0.85
7.086436454,3.009238301,0.85,0.85,0.85,0.85
7.081860144,3.068440417,0.85,0.85,0.85,0.85
7.074049536,3.12988038,0.85,0.85,0.85,0.85
7.06292996,3.193022677,0.85,0.85,0.85,0.85
7.048525417,3.257148733,0.85,0.85,0.85,0.85
7.030954284,3.321423772,0.85,0.85,0.85,0.85
7.01041102,3.38497994,0.85,0.85,0.85,0.85
6.987140213,3.447007073,0.85,0.85,0.85,0.85
6.961410966,3.506832684,0.85,0.85,0.85,0.85
6.933490316,3.563978392,0.85,0.85,0.85,0.85
6.903626806,3.618188247,0.85,0.85,0.85,0.85
6.872038538,3.669422195,0.85,0.85,0.85,0.85
6.838911229,3.717828922,0.85,0.85,0.85,0.85
6.804399904,3.763695899,0.85,0.85,0.85,0.85
6.768636476,3.807395213,0.85,0.85,0.85,0.85
6.731736352,3.849333691,0.85,0.85,0.85,0.85
6.693810742,3.889911817,0.85,0.85,0.85,0.85
6.654975388,3.929496845,0.85,0.85,0.85,0.85
6.615363543,3.968409564,0.85,0.85,0.85,0.85
6.575137003,4.006922411,0.85,0.85,0.85,0.85
6.534494978,4.045265063,0.85,0.85,0.85,0.85
6.49368366,4.083633933,0.85,0.85,0.85,0.85
6.452997306,4.122199427,0.85,0.85,0.85,0.85
6.412775782,4.161112254,0.85,0.85,0.85,0.85
6.37339451,4.200502476,0.85,0.85,0.85,0.85
6.335247173,4.240477767,0.85,0.85,0.85,0.85
6.298725015,4.281113326,0.85,0.85,0.85,0.85
6.264189628,4.322445941,0.85,0.85,0.85,0.85
6.231949864,4.364465779,0.85,0.85,0.85,0.85
6.202241531,4.407114638,0.85,0.85,0.85,0.85
6.175215716,4.450292432,0.85,0.85,0.85,0.85
6.150935947,4.493867248,0.85,0.85,0.85,0.85
6.129386456,4.537695523,0.85,0.85,0.85,0.85
6.110488525,4.581639124,0.85,0.85,0.85,0.85
6.094121699,4.625582781,0.85,0.85,0.85,0.85
6.080146261,4.669445978,0.85,0.85,0.85,0.85
6.068420037,4.713185063,0.85,0.85,0.85,0.85
6.058812685,4.756791994,0.85,0.85,0.85,0.85
6.051209712,4.800285402,0.85,0.85,0.85,0.85
6.045512092,4.843702667,0.85,0.85,0.85,0.85
6.041631647,4.887094291,0.85,0.85,0.85,0.85
6.039486028,4.930523119,0.85,0.85,0.85,0.85
6.038994566,4.974068373,0.85,0.85,0.85,0.85
6.040080238,5.017832501,0.85,0.85,0.85,0.85
6.042674784,5.061947722,0.85,0.85,0.85,0.85
6.046727837,5.106579284,0.85,0.85,0.85,0.85
6.052216805,5.151923514,0.85,0.85,0.85,0.85
6.059157011,5.198201387,0.85,0.85,0.85,0.85
6.067606732,5.245646002,0.85,0.85,0.85,0.85
6.077664841,5.294490694,0.85,0.85,0.85,0.85
6.089464704,5.344955996,0.85,0.85,0.85,0.85
6.103158702,5.397238901,0.85,0.85,0.85,0.85
6.118899372,5.45150477,0.85,0.85,0.85,0.85
6.13681856,5.507878114,0.85,0.85,0.85,0.85
6.157005871,5.566438036,0.85,0.85,0.85,0.85
6.179492373,5.627216808,0.85,0.85,0.85,0.85
6.204241728,5.690197898,0.85,0.85,0.85,0.85
6.231144964,5.755319947,0.85,0.85,0.85,0.85
6.2600256,5.822481685,0.85,0.85,0.85,0.85
6.290650002,5.89155424,0.85,0.85,0.85,0.85
6.322737972,5.962389195,0.85,0.85,0.85,0.85
6.355978313,6.034829721,0.85,0.85,0.85,0.85
6.390038725,6.108716748,0.85,0.85,0.85,0.85
6.424574243,6.183888207,0.85,0.85,0.85,0.85
6.45923184,6.260171081,0.85,0.85,0.85,0.85
6.493651904,6.33736868,0.85,0.85,0.85,0.85
6.527471986,6.41524698,0.85,0.85,0.85,0.85
6.560329669,6.493517124,0.85,0.85,0.85,0.85
6.591874579,6.571831041,0.85,0.85,0.85,0.85
6.621781604,6.649785168,0.85,0.85,0.85,0.85
6.649769261,6.726935268,0.85,0.85,0.85,0.85
6.675619573,6.802825769,0.85,0.85,0.85,0.85
6.699196263,6.877029177,0.85,0.85,0.85,0.85
6.720454264,6.949182916,0.85,0.85,0.85,0.85
6.739441529,7.019023052,0.85,0.85,0.85,0.85
6.756291985,7.086409154,0.85,0.85,0.85,0.85
6.771207271,7.151328485,0.85,0.85,0.85,0.85
6.784435947,7.21388893,0.85,0.85,0.85,0.85
6.796247182,7.274294559,0.85,0.85,0.85,0.85
6.806910245,7.332816861,0.85,0.85,0.85,0.85
6.816675044,7.389760085,0.85,0.85,0.85,0.85
6.825760767,7.445431566,0.85,0.85,0.85,0.85
6.834350303,7.500118171,0.85,0.85,0.85,0.85
6.842590202,7.554071149,0.85,0.85,0.85,0.85
6.850592346,7.60749669,0.85,0.85,0.85,0.85
6.858439916,7.660554815,0.85,0.85,0.85,0.85
6.866192306,7.713360455,0.85,0.85,0.85,0.85
6.87388993,7.765986609,0.85,0.85,0.85,0.85
6.881557959,7.818467277,0.85,0.85,0.85,0.85
6.889209692,7.870802302,0.85,0.85,0.85,0.85
6.896847021,7.922957514,0.85,0.85,0.85,0.85
6.90446305,7.974870135,0.85,0.85,0.85,0.85
6.91204304,8.026453268,0.85,0.85,0.85,0.85
6.919565981,8.077603603,0.85,0.85,0.85,0.85
6.927006157,8.128211627,0.85,0.85,0.85,0.85
6.934335118,8.178171941,0.85,0.85,0.85,0.85
6.941522901,8.227392754,0.85,0.85,0.85,0.85
6.948540536,8.275806398,0.85,0.85,0.85,0.85
6.955361073,8.323374432,0.85,0.85,0.85,0.85
6.96195608,8.370088341,0.85,0.85,0.85,0.85
6.968300545,8.415968945,0.85,0.85,0.85,0.85
6.97437339,8.461061247,0.85,0.85,0.85,0.85
6.98015481,8.505426064,0.85,0.85,0.85,0.85
6.985625519,8.549133294,0.85,0.85,0.85,0.85
6.990763021,8.592254929,0.85,0.85,0.85,0.85
6.995535189,8.634860453,0.85,0.85,0.85,0.85
6.999888418,8.67701045,0.85,0.85,0.85,0.85
7.003729203,8.718756895,0.85,0.85,0.85,0.85
7.006910842,8.760139588,0.85,0.85,0.85,0.85
7.009203798,8.801187156,0.85,0.85,0.85,0.85
7.010274479,8.841918121,0.85,0.85,0.85,0.85
7.009667722,8.882347755,0.85,0.85,0.85,0.85
7.006798473,8.9224893,0.85,0.85,0.85,0.85
7.00096186,8.962364189,0.85,0.85,0.85,0.85
6.991365275,9.002009407,0.85,0.85,0.85,0.85
6.977185469,9.041493249,0.85,0.85,0.85,0.85
6.957644302,9.080922611,0.85,0.85,0.85,0.85
6.932099507,9.120457351,0.85,0.85,0.85,0.85
6.900132461,9.160312725,0.85,0.85,0.85,0.85
6.861621033,9.200754636,0.85,0.85,0.85,0.85
6.816783021,9.242082639,0.85,0.85,0.85,0.85
6.766182474,9.284601422,0.85,0.85,0.85,0.85
6.710694763,9.328581708,0.85,0.85,0.85,0.85
6.651437072,9.374218505,0.85,0.85,0.85,0.85
6.589673594,9.421593731,0.85,0.85,0.85,0.85
6.526709911,9.470652472,0.85,0.85,0.85,0.85
6.463786732,9.521195248,0.85,0.85,0.85,0.85
6.401989637,9.572892952,0.85,0.85,0.85,0.85
6.342181483,9.625319297,0.85,0.85,0.85,0.85
6.284961685,9.677996744,0.85,0.85,0.85,0.85
6.230660765,9.730443653,0.85,0.85,0.85,0.85
6.179357736,9.782222045,0.85,0.85,0.85,0.85
6.130920067,9.832970725,0.85,0.85,0.85,0.85
6.085058928,9.882427104,0.85,0.85,0.85,0.85
6.041386438,9.930435328,0.85,0.85,0.85,0.85
5.999470172,9.976940979,0.85,0.85,0.85,0.85
5.958872217,10.02198195,0.85,0.85,0.85,0.85
5.919175058,10.06567336,0.85,0.85,0.85,0.85
5.879991461,10.10819133,0.85,0.85,0.85,0.85
5.840959797,10.14976089,0.85,0.85,0.85,0.85
5.801732501,10.19064434,0.85,0.85,0.85,0.85
5.761953012,10.23112823,0.85,0.85,0.85,0.85
5.72124018,10.27151853,0.85,0.85,0.85,0.85
5.679177542,10.31213019,0.85,0.85,0.85,0.85
5.635308516,10.35327714,0.85,0.85,0.85,0.85
5.589144133,10.39525908,0.85,0.85,0.85,0.85
5.540182347,10.43834483,0.85,0.85,0.85,0.85
5.487939869,10.48275109,0.85,0.85,0.85,0.85
5.431987667,10.52862016,0.85,0.85,0.85,0.85
5.371990882,10.57600035,0.85,0.85,0.85,0.85
5.307747124,10.62482542,0.85,0.85,0.85,0.85
5.239210133,10.67490737,0.85,0.85,0.85,0.85
5.166496836,10.72594062,0.85,0.85,0.85,0.85
5.089876817,10.77752044,0.85,0.85,0.85,0.85
5.009743744,10.829173,0.85,0.85,0.85,0.85
4.926574966,10.88039647,0.85,0.85,0.85,0.85
4.840888168,10.93070062,0.85,0.85,0.85,0.85
4.753204962,10.97964763,0.85,0.85,0.85,0.85
4.664029507,11.02687519,0.85,0.85,0.85,0.85
4.573846104,11.07211075,0.85,0.85,0.85,0.85
4.483134187,11.11516934,0.85,0.85,0.85,0.85
4.392393834,11.15593805,0.85,0.85,0.85,0.85
4.30217131,11.19435719,0.85,0.85,0.85,0.85
4.213074539,11.23039906,0.85,0.85,0.85,0.85
4.125769547,11.26405217,0.85,0.85,0.85,0.85
4.040954501,11.29531356,0.85,0.85,0.85,0.85
3.959313722,11.32418964,0.85,0.85,0.85,0.85
3.881461064,11.35070195,0.85,0.85,0.85,0.85
3.80787848,11.37489942,0.85,0.85,0.85,0.85
3.738868444,11.396866,0.85,0.85,0.85,0.85
3.6745217,11.41672879,0.85,0.85,0.85,0.85
3.61470937,11.43465827,0.85,0.85,0.85,0.85
3.559100862,11.45086424,0.85,0.85,0.85,0.85
3.507201003,11.46558511,0.85,0.85,0.85,0.85
3.458396784,11.4790782,0.85,0.85,0.85,0.85
3.412013552,11.49160468,0.85,0.85,0.85,0.85
3.367365862,11.50341858,0.85,0.85,0.85,0.85
3.323803062,11.5147554,0.85,0.85,0.85,0.85
3.280744016,11.52582384,0.85,0.85,0.85,0.85
3.237698383,11.53680229,0.85,0.85,0.85,0.85
3.194281648,11.54783326,0.85,0.85,0.85,0.85
3.150216986,11.55902405,0.85,0.85,0.85,0.85
3.105329854,11.57044746,0.85,0.85,0.85,0.85
3.059538994,11.58214426,0.85,0.85,0.85,0.85
3.012838506,11.59412801,0.85,0.85,0.85,0.85
2.965276993,11.60639182,0.85,0.85,0.85,0.85
2.916937158,11.6189147,0.85,0.85,0.85,0.85
2.867911889,11.63167005,0.85,0.85,0.85,0.85
2.818285699,11.64463159,0.85,0.85,0.85,0.85
2.768118958,11.65777821,0.85,0.85,0.85,0.85
2.717434461,11.67109789,0.85,0.85,0.85,0.85
2.666212726,11.68458776,0.85,0.85,0.85,0.85
2.614390327,11.69825348,0.85,0.85,0.85,0.85
2.561864387,11.7121063,0.85,0.85,0.85,0.85
2.508503231,11.72616008,0.85,0.85,0.85,0.85
2.454160095,11.74042681,0.85,0.85,0.85,0.85
2.39869557,11.7549119,0.85,0.85,0.85,0.85
2.341998053,11.769611,0.85,0.85,0.85,0.85
2.284008568,11.78450411,0.85,0.85,0.85,0.85
2.224738887,11.79955628,0.85,0.85,0.85,0.85
2.164285408,11.8147142,0.85,0.85,0.85,0.85
2.102829665,11.82991046,0.85,0.85,0.85,0.85
2.040629676,11.84506862,0.85,0.85,0.85,0.85
1.977998588,11.86010942,0.85,0.85,0.85,0.85
1.915276483,11.87495923,0.85,0.85,0.85,0.85
1.852798714,11.88955742,0.85,0.85,0.85,0.85
1.790865532,11.90386238,0.85,0.85,0.85,0.85
1.729721134,11.917852,0.85,0.85,0.85,0.85
1.669538483,11.93152481,0.85,0.85,0.85,0.85
1.610418685,11.94489447,0.85,0.85,0.85,0.85
1.552397469,11.95798501,0.85,0.85,0.85,0.85
1.495460109,11.97082396,0.85,0.85,0.85,0.85
1.439557466,11.98343827,0.85,0.85,0.85,0.85
1.38462469,11.99584853,0.85,0.85,0.85,0.85
1.330592612,12.00806902,0.85,0.85,0.85,0.85
1.277398495,12.02010516,0.85,0.85,0.85,0.85
1.224986017,12.03195784,0.85,0.85,0.85,0.85
1.17330638,12.04362316,0.85,0.85,0.85,0.85
1.122313996,12.05509553,0.85,0.85,0.85,0.85
1.071960278,12.06637186,0.85,0.85,0.85,0.85
1.022193372,12.07745049,0.85,0.85,0.85,0.85
0.97295369,12.08833564,0.85,0.85,0.85,0.85
0.924176192,12.09903633,0.85,0.85,0.85,0.85
0.875791941,12.10956708,0.85,0.85,0.85,0.85
0.827730449,12.11994783,0.85,0.85,0.85,0.85
0.779923974,12.13020194,0.85,0.85,0.85,0.85
0.732310638,12.14035548,0.85,0.85,0.85,0.85
0.684835528,12.15043426,0.85,0.85,0.85,0.85
0.637454794,12.16046157,0.85,0.85,0.85,0.85
0.590133811,12.17045776,0.85,0.85,0.85,0.85
0.542851605,12.18043621,0.85,0.85,0.85,0.85
0.495596802,12.1904057,0.85,0.85,0.85,0.85
0.448369454,12.20036939,0.85,0.85,0.85,0.85
0.401177892,12.21032721,0.85,0.85,0.85,0.85
0.354038791,12.22027783,0.85,0.85,0.85,0.85
0.306974988,12.23022022,0.85,0.85,0.85,0.85
0.26001674,12.2401544,0.85,0.85,0.85,0.85
0.213199782,12.25008271,0.85,0.85,0.85,0.85
0.166568293,12.26000748,0.85,0.85,0.85,0.85
0.120172734,12.26993017,0.85,0.85,0.85,0.85
0.074070271,12.27984949,0.85,0.85,0.85,0.85
0.028320917,12.28976023,0.85,0.85,0.85,0.85
-0.017014412,12.29965203,0.85,0.85,0.85,0.85
-0.061879184,12.30951199,0.85,0.85,0.85,0.85
-0.10622407,12.31932339,0.85,0.85,0.85,0.85
-0.150010318,12.32906961,0.85,0.85,0.85,0.85
-0.193210728,12.33873528,0.85,0.85,0.85,0.85
-0.235809313,12.34830643,0.85,0.85,0.85,0.85
-0.277802215,12.35777367,0.85,0.85,0.85,0.85
-0.31919527,12.36713173,0.85,0.85,0.85,0.85
-0.360004081,12.37637848,0.85,0.85,0.85,0.85
-0.400254878,12.38551756,0.85,0.85,0.85,0.85
-0.439982903,12.39455666,0.85,0.85,0.85,0.85
-0.479233166,12.40350759,0.85,0.85,0.85,0.85
-0.518058544,12.41238645,0.85,0.85,0.85,0.85
-0.556517683,12.42121151,0.85,0.85,0.85,0.85
-0.594671667,12.43000168,0.85,0.85,0.85,0.85
-0.632580762,12.43877456,0.85,0.85,0.85,0.85
-0.670300929,12.44754389,0.85,0.85,0.85,0.85
-0.70788232,12.45631886,0.85,0.85,0.85,0.85
-0.745366299,12.46510162,0.85,0.85,0.85,0.85
-0.782789287,12.47389173,0.85,0.85,0.85,0.85
-0.820180484,12.48268424,0.85,0.85,0.85,0.85
-0.857567115,12.49147512,0.85,0.85,0.85,0.85
-0.894977094,12.50026388,0.85,0.85,0.85,0.85
-0.932442766,12.50905466,0.85,0.85,0.85,0.85
-0.970005411,12.51785937,0.85,0.85,0.85,0.85
-1.007717373,12.52669582,0.85,0.85,0.85,0.85
-1.045645017,12.53558874,0.85,0.85,0.85,0.85
-1.083868296,12.54456576,0.85,0.85,0.85,0.85
-1.122478074,12.55365541,0.85,0.85,0.85,0.85
-1.161571256,12.56288512,0.85,0.85,0.85,0.85
-1.201240816,12.57227715,0.85,0.85,0.85,0.85
-1.241565701,12.58184696,0.85,0.85,0.85,0.85
-1.282599856,12.59160153,0.85,0.85,0.85,0.85
-1.324364632,12.60153857,0.85,0.85,0.85,0.85
-1.366842727,12.61164647,0.85,0.85,0.85,0.85
-1.409982078,12.62190661,0.85,0.85,0.85,0.85
-1.453701957,12.63229453,0.85,0.85,0.85,0.85
-1.497907515,12.64278483,0.85,0.85,0.85,0.85
-1.542505011,12.65335567,0.85,0.85,0.85,0.85
-1.587416435,12.66398934,0.85,0.85,0.85,0.85
-1.632589897,12.67467712,0.85,0.85,0.85,0.85
-1.678002686,12.6854172,0.85,0.85,0.85,0.85
-1.723657046,12.69621241,0.85,0.85,0.85,0.85
-1.769570418,12.70706918,0.85,0.85,0.85,0.85
-1.815761712,12.71799006,0.85,0.85,0.85,0.85
-1.862237607,12.72897207,0.85,0.85,0.85,0.85
-1.908981775,12.74000471,0.85,0.85,0.85,0.85
-1.955949009,12.75106833,0.85,0.85,0.85,0.85
-2.003064873,12.762135,0.85,0.85,0.85,0.85
-2.050230236,12.77317359,0.85,0.85,0.85,0.85
-2.097329253,12.7841495,0.85,0.85,0.85,0.85
-2.144239002,12.79502935,0.85,0.85,0.85,0.85
-2.190839142,12.80578454,0.85,0.85,0.85,0.85
-2.237020288,12.8163897,0.85,0.85,0.85,0.85
-2.282690275,12.82682614,0.85,0.85,0.85,0.85
-2.327777899,12.83708128,0.85,0.85,0.85,0.85
-2.372233545,12.84714684,0.85,0.85,0.85,0.85
-2.416029506,12.85702078,0.85,0.85,0.85,0.85
-2.459154989,12.86670539,0.85,0.85,0.85,0.85
-2.501614969,12.87620762,0.85,0.85,0.85,0.85
-2.543424523,12.88553805,0.85,0.85,0.85,0.85
-2.584608643,12.89471251,0.85,0.85,0.85,0.85
-2.625198977,12.90374903,0.85,0.85,0.85,0.85
-2.665234885,12.91266888,0.85,0.85,0.85,0.85
-2.704762112,12.92149473,0.85,0.85,0.85,0.85
-2.743833755,12.93024901,0.85,0.85,0.85,0.85
-2.78250872,12.93895232,0.85,0.85,0.85,0.85
-2.820850818,12.94762292,0.85,0.85,0.85,0.85
-2.858926207,12.95627563,0.85,0.85,0.85,0.85
-2.89680187,12.96492236,0.85,0.85,0.85,0.85
-2.934546073,12.97357471,0.85,0.85,0.85,0.85
-2.972226593,12.98224343,0.85,0.85,0.85,0.85
-3.009915254,12.9909429,0.85,0.85,0.85,0.85
-3.047688204,12.99968993,0.85,0.85,0.85,0.85
-3.085630559,13.00850595,0.85,0.85,0.85,0.85
-3.123837715,13.01741578,0.85,0.85,0.85,0.85
-3.162414795,13.02644557,0.85,0.85,0.85,0.85
-3.201475989,13.03562276,0.85,0.85,0.85,0.85
-3.24113605,13.04497091,0.85,0.85,0.85,0.85
